Engine,Kilometers_Driven,Mileage,New_Price,Power,S.No.,Seats,Year,Owner_Type,Fuel_Type,Transmission,Name,Location,Price
998.0,72000.0,26.6,2277955,58.16,0.0,5,2010.0,0,0,1,2,3,175000.0
1582.0,41000.0,19.67,2277969,126.2,1.0,5,2015.0,0,1,1,2,3,1250000.0
1199.0,46000.0,18.2,861000,88.7,2.0,5,2011.0,0,4,1,2,0,450000.0
1248.0,87000.0,20.77,2277949,88.76,3.0,7,2012.0,0,1,1,2,0,600000.0
1968.0,40670.0,15.2,2277970,140.8,4.0,5,2013.0,2,1,0,3,2,1773999.9999999998
814.0,75000.0,21.1,2277954,55.2,5.0,5,2012.0,0,3,1,2,0,235000.0
1461.0,86999.0,23.08,2277949,63.1,6.0,5,2013.0,0,1,1,2,1,350000.0
2755.0,36000.0,11.36,2100000,171.5,7.0,8,2016.0,0,1,0,4,3,1750000.0
1598.0,64430.0,20.54,2277959,103.6,8.0,5,2013.0,0,1,1,2,3,520000.0
1248.0,65932.0,22.3,2277958,74.0,9.0,5,2012.0,2,1,1,0,0,195000.0
1462.0,25692.0,21.56,1065000,103.25,10.0,5,2018.0,0,4,1,2,2,995000.0
1497.0,60000.0,16.8,2277961,116.3,11.0,5,2012.0,0,4,0,2,0,449000.0
1248.0,64424.0,25.2,2277959,74.0,12.0,5,2015.0,0,1,1,2,1,560000.0
2179.0,72000.0,12.7,2277956,187.7,13.0,5,2014.0,0,1,0,1,1,2700000.0
2179.0,85000.0,0.0,2277950,115.0,14.0,5,2012.0,2,1,0,1,3,1750000.0
2477.0,110000.0,13.5,3201000,175.56,15.0,7,2014.0,0,1,1,4,1,1500000.0
1498.0,58950.0,25.8,2277961,98.6,16.0,5,2016.0,0,1,1,2,2,540000.0
1248.0,25000.0,28.4,2277976,74.0,17.0,5,2017.0,0,1,1,2,1,599000.0
1461.0,77469.0,20.45,2277953,83.8,18.0,5,2014.0,0,1,1,4,2,634000.0
2143.0,78500.0,14.84,2277953,167.62,19.0,5,2014.0,0,1,0,3,2,2800000.0
1995.0,32982.0,22.69,4787000,190.0,20.0,5,2014.0,0,1,0,3,2,1855000.0
1248.0,55392.0,23.65,2277963,88.5,21.0,5,2015.0,2,1,1,2,2,825000.0
1984.0,55985.0,13.53,2277963,177.01,22.0,5,2015.0,0,4,0,3,3,2350000.0
1197.0,45807.0,18.5,2277967,80.0,23.0,5,2010.0,0,4,1,2,0,187000.0
1598.0,33000.0,14.4,2277973,103.6,24.0,5,2010.0,0,4,0,2,0,285000.0
1497.0,51920.0,16.8,2277964,116.3,25.0,5,2012.0,0,4,1,2,3,425000.0
1461.0,54000.0,23.08,2277963,63.1,26.0,5,2012.0,0,1,1,2,0,425000.0
998.0,54000.0,20.92,2277963,67.1,27.0,5,2013.0,2,4,1,2,0,275000.0
1199.0,37430.0,17.5,1057000,88.7,28.0,5,2018.0,0,4,1,2,2,990000.0
2494.0,262000.0,12.8,2277872,102.0,29.0,7,2007.0,1,1,1,4,3,400000.0
1461.0,62000.0,19.01,2277960,108.45,30.0,5,2013.0,0,1,1,4,2,775000.0
1798.0,87615.0,14.53,2277949,138.1,31.0,5,2012.0,0,4,1,4,1,675000.0
2696.0,72000.0,11.18,2277956,184.0,32.0,7,2013.0,2,1,0,4,2,1250000.0
2698.0,35000.0,12.4,2277973,179.5,33.0,5,2010.0,0,1,0,3,0,1150000.0
