Engine,Kilometers_Driven,Mileage,New_Price,Power,S.No.,Seats,Year,Owner_Type,Fuel_Type,Transmission,Name,Location,Price
998.0,72000.0,26.6,2277955.593915014,58.16,0.0,5,2010.0,First,CNG,Manual,Fourth Tier,West,175000.0
1582.0,41000.0,19.67,2277969.7758221067,126.2,1.0,5,2015.0,First,Diesel,Manual,Fourth Tier,West,1250000.0
1199.0,46000.0,18.2,861000.0,88.7,2.0,5,2011.0,First,Petrol,Manual,Fourth Tier,East,450000.0
1248.0,87000.0,20.77,2277949.1613851315,88.76,3.0,7,2012.0,First,Diesel,Manual,Fourth Tier,East,600000.0
1968.0,40670.0,15.2,2277970.2300837403,140.8,4.0,5,2013.0,Second,Diesel,Automatic,Second Tier,South,1773999.9999999998
814.0,75000.0,21.1,2277954.1188705466,55.2,5.0,5,2012.0,First,LPG,Manual,Fourth Tier,East,235000.0
1461.0,86999.0,23.08,2277949.328394078,63.1,6.0,5,2013.0,First,Diesel,Manual,Fourth Tier,North,350000.0
2755.0,36000.0,11.36,2100000.0,171.5,7.0,8,2016.0,First,Diesel,Automatic,Third Tier,West,1750000.0
1598.0,64430.0,20.54,2277959.42236438,103.6,8.0,5,2013.0,First,Diesel,Manual,Fourth Tier,West,520000.0
1248.0,65932.0,22.3,2277958.4760069745,74.0,9.0,5,2012.0,Second,Diesel,Manual,Fifth Tier,East,195000.0
1462.0,25692.0,21.56,1065000.0,103.25,10.0,5,2018.0,First,Petrol,Manual,Fourth Tier,South,994999.9999999999
1497.0,60000.0,16.8,2277961.301505289,116.3,11.0,5,2012.0,First,Petrol,Automatic,Fourth Tier,East,449000.0
1248.0,64424.0,25.2,2277959.142140615,74.0,12.0,5,2015.0,First,Diesel,Manual,Fourth Tier,North,560000.0
2179.0,72000.0,12.7,2277956.5442617103,187.7,13.0,5,2014.0,First,Diesel,Automatic,First Tier,North,2700000.0
2179.0,85000.0,0.0,2277950.7877292545,115.0,14.0,5,2012.0,Second,Diesel,Automatic,First Tier,West,1750000.0
2477.0,110000.0,13.5,3201000.0,175.56,15.0,7,2014.0,First,Diesel,Manual,Third Tier,North,1500000.0
1498.0,58950.0,25.8,2277961.763656533,98.6,16.0,5,2016.0,First,Diesel,Manual,Fourth Tier,South,540000.0
1248.0,25000.0,28.4,2277976.5766018922,74.0,17.0,5,2017.0,First,Diesel,Manual,Fourth Tier,North,599000.0
1461.0,77469.0,20.45,2277953.5419784817,83.8,18.0,5,2014.0,First,Diesel,Manual,Third Tier,South,634000.0
2143.0,78500.0,14.84,2277953.6373661747,167.62,19.0,5,2014.0,First,Diesel,Automatic,Second Tier,South,2800000.0
1995.0,32982.0,22.69,4787000.0,190.0,20.0,5,2014.0,First,Diesel,Automatic,Second Tier,South,1855000.0
1248.0,55392.0,23.65,2277963.135675518,88.5,21.0,5,2015.0,Second,Diesel,Manual,Fourth Tier,South,825000.0
1984.0,55985.0,13.53,2277963.4682798204,177.01,22.0,5,2015.0,First,Petrol,Automatic,Second Tier,West,2350000.0
1197.0,45807.0,18.5,2277967.3327998472,80.0,23.0,5,2010.0,First,Petrol,Manual,Fourth Tier,East,187000.0
1598.0,33000.0,14.4,2277973.3185133766,103.6,24.0,5,2010.0,First,Petrol,Automatic,Fourth Tier,East,285000.0
1497.0,51920.0,16.8,2277964.871310876,116.3,25.0,5,2012.0,First,Petrol,Manual,Fourth Tier,West,425000.0
1461.0,54000.0,23.08,2277963.91738166,63.1,26.0,5,2012.0,First,Diesel,Manual,Fourth Tier,East,425000.0
998.0,54000.0,20.92,2277963.5484200567,67.1,27.0,5,2013.0,Second,Petrol,Manual,Fourth Tier,East,275000.0
1199.0,37430.0,17.5,1057000.0,88.7,28.0,5,2018.0,First,Petrol,Manual,Fourth Tier,South,990000.0
2494.0,262000.0,12.8,2277872.753020647,102.0,29.0,7,2007.0,Fourth & Above,Diesel,Manual,Third Tier,West,400000.0
1461.0,62000.0,19.01,2277960.382534809,108.45,30.0,5,2013.0,First,Diesel,Manual,Third Tier,South,775000.0
1798.0,87615.0,14.53,2277949.3251645244,138.1,31.0,5,2012.0,First,Petrol,Manual,Third Tier,North,675000.0
2696.0,72000.0,11.18,2277956.9510517856,184.0,32.0,7,2013.0,Second,Diesel,Automatic,Third Tier,South,1250000.0
2698.0,35000.0,12.4,2277973.3156944807,179.5,33.0,5,2010.0,First,Diesel,Automatic,Second Tier,East,1150000.0
1598.0,55431.0,16.09,1233000.0,103.5,34.0,5,2014.0,Second,Petrol,Manual,Fourth Tier,South,698000.0
1061.0,83816.0,14.0,2277950.40974626,64.0,35.0,5,2009.0,Second,Petrol,Manual,Fourth Tier,North,185000.0
1248.0,50075.0,24.3,1112000.0,88.5,36.0,5,2018.0,First,Diesel,Manual,Fourth Tier,South,863000.0000000001
1198.0,52000.0,18.15,2277964.591169345,82.0,37.0,5,2017.0,First,Petrol,Manual,Third Tier,North,484999.99999999994
2987.0,85000.0,11.74,2277951.4387325114,254.8,38.0,5,2013.0,First,Diesel,Automatic,Second Tier,West,2800000.0
1199.0,62000.0,22.07,2277960.1680290396,73.9,39.0,5,2013.0,First,Diesel,Manual,Fourth Tier,East,500000.0
796.0,90000.0,19.7,2277947.4605335295,46.3,40.0,5,2008.0,Second,Petrol,Manual,Fourth Tier,North,125000.0
624.0,19698.0,25.4,2277978.414297528,37.5,41.0,4,2014.0,First,Petrol,Manual,Fifth Tier,South,153000.0
1198.0,22033.0,25.32,2277977.842661452,77.0,42.0,6,2017.0,First,Diesel,Manual,Third Tier,South,558000.0
1197.0,35487.0,18.5,2277971.8919726023,82.9,43.0,5,2014.0,First,Petrol,Manual,Fourth Tier,South,474000.0
1999.0,46374.0,14.62,2364000.0,149.92,44.0,5,2014.0,First,Petrol,Automatic,Fourth Tier,South,885000.0
1798.0,52001.0,14.28,2277965.0722418027,138.03,45.0,5,2016.0,First,Petrol,Automatic,Third Tier,West,1011000.0
1991.0,58005.0,14.9,2277962.568033348,112.2,46.0,5,2008.0,Second,Diesel,Manual,Fourth Tier,East,425000.0
2694.0,70704.0,11.25,1864000.0,163.7,47.0,7,2012.0,First,Petrol,Manual,Third Tier,South,1095000.0
1120.0,75000.0,24.4,2277954.352982541,71.0,48.0,5,2014.0,First,Diesel,Manual,Fourth Tier,North,385000.0
2498.0,75800.0,16.55,2277955.100640701,105.0,49.0,6,2012.0,Second,Diesel,Manual,Third Tier,North,550000.0
1968.0,13648.0,17.11,2277982.171998767,174.33,50.0,5,2015.0,First,Diesel,Automatic,Second Tier,South,2143000.0
1248.0,52000.0,22.9,2277964.6265741037,74.0,51.0,5,2014.0,First,Diesel,Manual,Fourth Tier,North,425000.0
1248.0,53000.0,17.8,2277964.1841592565,75.0,52.0,5,2014.0,First,Diesel,Manual,Fourth Tier,East,330000.0
1248.0,65650.0,28.4,2277958.589137283,74.0,53.0,5,2013.0,First,Diesel,Manual,Fourth Tier,North,385000.0
1197.0,54000.0,18.9,2277963.7013741704,82.0,54.0,5,2015.0,Third,Petrol,Manual,Fourth Tier,East,360000.0
1598.0,39000.0,15.04,2277970.6567417756,103.2,55.0,5,2015.0,First,Petrol,Manual,Fourth Tier,East,399000.0
799.0,16542.0,25.17,2277979.947136702,53.3,56.0,5,2017.0,First,Petrol,Manual,Third Tier,South,330000.0
1197.0,32000.0,20.36,2277973.430079918,78.9,57.0,5,2010.0,First,Petrol,Manual,Fourth Tier,East,206999.99999999997
1995.0,121812.0,13.29,2277934.351935698,147.6,58.0,5,2010.0,First,Diesel,Automatic,Fourth Tier,East,775000.0
998.0,39300.0,18.2,2277970.0412867926,67.1,59.0,5,2010.0,First,Petrol,Manual,Fourth Tier,East,225000.0
2393.0,22000.0,13.68,1934000.0,147.8,60.0,8,2017.0,First,Diesel,Manual,Third Tier,West,1650000.0
1399.0,72000.0,20.0,2277955.8984928206,68.0,61.0,5,2010.0,First,Diesel,Manual,Fourth Tier,South,275000.0
1796.0,58000.0,11.74,2277962.4175955243,186.0,62.0,5,2015.0,First,Petrol,Automatic,Second Tier,North,2670000.0
2148.0,65000.0,15.8,2277959.6005607117,170.0,63.0,5,2011.0,Second,Diesel,Manual,Second Tier,West,1000000.0
1396.0,178000.0,25.0,2277909.0154846855,69.0,64.0,5,2016.0,First,Diesel,Manual,Fifth Tier,East,250000.0
1968.0,65664.0,16.55,2277959.160039139,140.0,65.0,5,2012.0,First,Diesel,Automatic,Second Tier,North,1350000.0
1497.0,63000.0,16.4,2277959.956629657,78.0,66.0,5,2007.0,Second,Petrol,Automatic,Fourth Tier,West,185000.0
1950.0,15369.0,0.0,4914000.0,194.0,67.0,5,2019.0,First,Diesel,Automatic,Second Tier,South,3567000.0
1248.0,63000.0,24.52,2277959.7585772634,88.5,68.0,7,2016.0,First,Diesel,Manual,Fourth Tier,West,815000.0
1396.0,13000.0,22.1,1181000.0,88.7,69.0,5,2018.0,First,Diesel,Manual,Fourth Tier,West,1050000.0
4806.0,73000.0,8.5,2277958.210754951,500.0,70.0,5,2008.0,First,Petrol,Automatic,First Tier,West,1450000.0
2179.0,55729.0,15.1,2277963.72054993,140.0,71.0,7,2015.0,First,Diesel,Manual,Third Tier,West,965000.0
1197.0,45178.0,16.95,2277967.598002917,78.9,72.0,5,2012.0,First,Petrol,Automatic,Fourth Tier,South,348000.0
1461.0,56066.0,19.64,1664999.9999999998,108.5,73.0,5,2015.0,First,Diesel,Manual,Fourth Tier,South,692000.0
1198.0,37300.0,16.5,2277971.0831733197,86.8,74.0,5,2016.0,Second,Petrol,Automatic,Fourth Tier,South,646000.0
1968.0,56000.0,18.53,2277963.4359592586,187.74,75.0,5,2014.0,Second,Diesel,Automatic,Second Tier,North,2950000.0
1399.0,111111.0,17.8,2277938.5984742586,81.46124925664162,76.0,5,2008.0,First,Diesel,Manual,Fourth Tier,North,200000.0
1998.0,230000.0,12.4,2277886.500279401,132.0,77.0,8,2006.0,Third,Petrol,Manual,Third Tier,East,450000.0
2494.0,104000.0,12.8,2277942.617732025,102.0,78.0,7,2012.0,First,Diesel,Manual,Third Tier,East,1175000.0
1086.0,87591.0,0.0,2277948.747824681,55.70875536997187,79.0,5,2005.0,First,Petrol,Manual,Fourth Tier,East,130000.0
1248.0,95100.0,22.9,2277945.5574042643,74.0,80.0,5,2012.0,First,Diesel,Manual,Fourth Tier,North,375000.0
1193.0,70000.0,17.57,667000.0,88.7,81.0,5,2017.0,First,Petrol,Manual,Fifth Tier,West,450000.0
1198.0,54944.0,18.0,2277963.277761818,86.7,82.0,5,2016.0,First,Petrol,Manual,Fourth Tier,South,482000.0
1399.0,70337.0,20.0,2277956.6281922944,68.0,83.0,5,2012.0,First,Diesel,Manual,Fourth Tier,East,280000.0
1248.0,99638.0,23.2,2277943.549355102,73.94,84.0,5,2013.0,First,Diesel,Manual,Fourth Tier,North,311000.0
1497.0,52000.0,17.8,2277964.820248336,117.3,85.0,5,2009.0,First,Petrol,Manual,Fourth Tier,North,325000.0
1995.0,75000.0,16.73,2277955.054462819,218.0,86.0,5,2011.0,Second,Diesel,Automatic,Second Tier,North,1390000.0
1197.0,95980.0,20.36,2277945.1261901325,78.9,87.0,5,2009.0,First,Petrol,Manual,Fourth Tier,West,225000.0
1197.0,16000.0,18.9,2277980.4984392845,82.0,88.0,5,2016.0,First,Petrol,Manual,Fourth Tier,South,575000.0
1086.0,73745.0,17.0,2277954.8698388897,67.54647369495183,89.0,5,2007.0,First,Petrol,Manual,Fourth Tier,East,210000.0
1198.0,18949.0,17.8,2277979.1949251653,86.7,90.0,5,2016.0,First,Petrol,Manual,Fourth Tier,West,500000.0
2982.0,107000.0,13.0,2277941.682837927,168.5,91.0,7,2014.0,First,Diesel,Manual,Third Tier,North,1650000.0
1968.0,48367.0,17.68,2277966.8060164917,174.33,92.0,5,2018.0,First,Diesel,Automatic,Second Tier,South,3958000.0
1498.0,57000.0,22.7,2277962.605007538,89.84,93.0,5,2013.0,First,Diesel,Manual,Fourth Tier,North,550000.0
2179.0,58000.0,15.1,2277962.7101236973,140.0,94.0,7,2014.0,First,Diesel,Manual,Third Tier,North,810000.0
1498.0,30000.0,25.8,2277974.5464092274,98.6,95.0,5,2015.0,First,Diesel,Manual,Fourth Tier,East,350000.0
1199.0,34212.0,22.07,2277972.442655371,73.9,96.0,5,2013.0,First,Diesel,Manual,Fourth Tier,East,279000.0
1493.0,70002.0,16.2,2277956.8515955154,110.0,97.0,5,2010.0,First,Diesel,Manual,Fourth Tier,East,345000.0
998.0,62000.0,18.9,2277959.991654185,67.1,98.0,5,2016.0,First,Petrol,Manual,Fourth Tier,South,445000.0
1598.0,62001.0,15.26,2277960.472706187,103.5,99.0,5,2010.0,First,Petrol,Manual,Fourth Tier,North,265000.0
1396.0,78958.0,23.0,2277952.810655397,90.0,100.0,5,2011.0,Second,Diesel,Manual,Fourth Tier,West,380000.0
1197.0,30180.0,18.5,2277974.2238109405,82.85,101.0,5,2014.0,First,Petrol,Manual,Fourth Tier,West,465000.00000000006
1198.0,32851.0,19.83,645000.0,67.0,102.0,7,2017.0,First,Petrol,Manual,Fifth Tier,West,395000.0
2967.0,30000.0,14.94,2277975.7289008857,241.4,103.0,5,2010.0,First,Diesel,Automatic,Second Tier,East,980000.0000000001
1197.0,66000.0,17.0,2277958.3808885603,80.0,104.0,5,2009.0,Second,Petrol,Manual,Fourth Tier,West,270000.0
796.0,93850.0,14.0,2277945.73967897,35.0,105.0,5,2010.0,First,Petrol,Manual,Fourth Tier,South,241000.0
1197.0,53000.0,17.71,641000.0,78.9,106.0,5,2014.0,First,Petrol,Manual,Third Tier,East,390000.0
2993.0,78000.0,14.74,2277954.522734645,270.9,107.0,5,2011.0,Second,Diesel,Automatic,First Tier,East,2400000.0
2179.0,65000.0,16.0,2277959.6105980384,140.0,108.0,7,2012.0,Second,Diesel,Manual,Third Tier,North,575000.0
1582.0,40000.0,22.32,2277970.1896966537,126.32,109.0,5,2014.0,First,Diesel,Automatic,Fourth Tier,East,525000.0
2755.0,30000.0,11.36,2700000.0,171.5,110.0,7,2017.0,First,Diesel,Automatic,Third Tier,West,1925000.0
1196.0,38053.0,15.1,513000.0,73.0,111.0,5,2017.0,First,Petrol,Manual,Fourth Tier,South,391000.0
624.0,25500.0,25.4,2277975.8296205117,37.5,112.0,4,2014.0,First,Petrol,Manual,Fifth Tier,South,215000.0
1995.0,56087.0,22.69,5443000.0,190.0,113.0,5,2015.0,First,Diesel,Automatic,Second Tier,West,2075000.0
1799.0,71088.0,13.5,2277956.612662078,130.0,114.0,5,2010.0,First,Petrol,Manual,Fourth Tier,North,335000.0
2494.0,55000.0,12.99,2277964.278770683,100.6,115.0,7,2014.0,First,Diesel,Manual,Third Tier,East,1111000.0
1984.0,32700.0,23.3,2277973.7390772915,150.0,116.0,5,2014.0,First,Diesel,Automatic,Second Tier,South,2000000.0
1198.0,39882.0,19.15,951000.0,75.94,117.0,5,2016.0,First,Petrol,Automatic,Fourth Tier,South,655000.0
2497.0,128000.0,10.8,2277932.0060056266,215.0,118.0,5,2009.0,First,Petrol,Automatic,Second Tier,West,700000.0
1248.0,55000.0,24.3,996000.0000000001,88.5,119.0,5,2016.0,First,Diesel,Manual,Fourth Tier,West,750000.0
1086.0,102000.0,17.0,2277942.365491741,67.02232225642592,120.0,5,2005.0,Second,Petrol,Manual,Fourth Tier,West,85000.0
2143.0,53753.0,15.0,2277964.549523221,107.3,121.0,5,2014.0,Second,Diesel,Automatic,Second Tier,West,1675000.0
1582.0,10250.0,22.0,1444000.0,126.2,122.0,5,2018.0,First,Diesel,Manual,Fourth Tier,East,1095000.0
998.0,43874.0,18.9,2277968.0015468164,67.1,123.0,5,2011.0,First,Petrol,Manual,Fourth Tier,West,245000.00000000003
624.0,32684.0,21.9,2277972.6492562024,37.48,124.0,4,2017.0,First,Petrol,Automatic,Fifth Tier,South,323000.0
2179.0,42000.0,12.05,2277969.776300724,120.0,125.0,8,2014.0,First,Diesel,Manual,Third Tier,East,775000.0
1796.0,28352.0,11.7,2277975.512234873,178.0,126.0,5,2009.0,First,Petrol,Automatic,Second Tier,East,935000.0
998.0,89900.0,26.6,2277947.6440141695,58.16,127.0,5,2013.0,First,CNG,Manual,Fourth Tier,West,325000.0
2354.0,47700.0,10.8,2277967.3971515885,152.0,128.0,5,2007.0,Second,Petrol,Manual,Fourth Tier,South,525000.0
1498.0,55000.0,21.21,2277963.4813411455,103.2,129.0,5,2015.0,First,Diesel,Automatic,Fourth Tier,West,725000.0
1373.0,44285.0,20.73,2277968.119137321,91.1,130.0,5,2017.0,First,Petrol,Manual,Fourth Tier,South,747000.0
2179.0,54000.0,16.0,2277964.4694471546,140.0,131.0,7,2016.0,First,Diesel,Automatic,Third Tier,North,1325000.0
1197.0,30232.0,21.1,2277974.1929341503,85.8,132.0,5,2016.0,First,Petrol,Manual,Fourth Tier,South,581000.0
998.0,88500.0,24.07,453000.0,67.1,133.0,5,2014.0,First,Petrol,Manual,Fourth Tier,East,260000.0
2996.0,13372.0,19.0,9504000.0,362.07,134.0,2,2017.0,First,Petrol,Automatic,Second Tier,East,5400000.0
1591.0,12645.0,17.0,1349000.0,121.3,135.0,5,2019.0,First,Petrol,Automatic,Fourth Tier,South,1150000.0
796.0,94385.0,19.7,2277945.495970648,46.3,136.0,5,2010.0,Second,Petrol,Manual,Fourth Tier,East,160000.0
1995.0,31821.0,20.58,2277974.130419859,143.0,137.0,5,2015.0,First,Diesel,Automatic,Second Tier,South,1722000.0
1199.0,12000.0,19.0,2277982.2565776003,88.7,138.0,5,2015.0,First,Petrol,Automatic,Fourth Tier,West,600000.0
1799.0,88578.0,13.5,2277948.870904796,130.0,139.0,5,2012.0,First,Petrol,Manual,Fourth Tier,North,395000.0
2143.0,44965.0,19.27,2277968.4370652842,170.0,140.0,5,2014.0,First,Diesel,Automatic,Second Tier,South,1795000.0
1498.0,45044.0,25.8,2277967.880907843,98.6,141.0,5,2014.0,First,Diesel,Manual,Fourth Tier,East,370000.0
1197.0,34204.0,22.0,2277972.43325358,81.8,142.0,5,2016.0,First,Petrol,Manual,Fourth Tier,South,543000.0
1086.0,80759.0,17.0,2277951.7539257784,70.90099491989054,143.0,5,2008.0,Third,Petrol,Manual,Fourth Tier,South,167000.0
2982.0,91235.0,11.5,2277948.6414270923,171.0,144.0,7,2012.0,First,Diesel,Manual,Third Tier,South,1349000.0
1199.0,38800.0,18.6,2277970.4009553366,76.8,145.0,5,2014.0,First,Petrol,Manual,Fifth Tier,West,285000.0
1498.0,83000.0,21.14,2277951.093531174,103.52,146.0,5,2013.0,First,Diesel,Manual,Third Tier,East,475000.0
1373.0,41283.0,20.73,2277969.442342131,91.1,147.0,5,2018.0,First,Petrol,Manual,Fourth Tier,South,990000.0
2894.0,23000.0,11.05,12800000.0,444.0,148.0,4,2013.0,First,Petrol,Automatic,Second Tier,West,3700000.0
1995.0,48000.0,21.76,6088000.0,190.0,149.0,5,2014.0,First,Diesel,Automatic,Second Tier,West,2650000.0
1968.0,48214.0,17.11,2277966.8584374455,174.33,150.0,5,2015.0,First,Diesel,Automatic,Second Tier,South,2332000.0
1248.0,35000.0,22.9,2277972.118759393,74.0,151.0,5,2016.0,First,Diesel,Manual,Fourth Tier,East,625000.0
5461.0,35277.0,7.81,2277975.381843139,362.9,152.0,5,2010.0,First,Petrol,Automatic,Second Tier,East,3000000.0
1498.0,54620.0,21.66,2277963.64312078,103.52,153.0,5,2016.0,First,Diesel,Automatic,Third Tier,South,986000.0
1968.0,136997.0,17.2,2277927.5884939097,138.1,154.0,5,2012.0,First,Diesel,Automatic,Third Tier,West,850000.0
814.0,14322.0,21.1,2277980.915084121,55.2,155.0,5,2019.0,First,Petrol,Manual,Fourth Tier,South,423000.00000000006
1199.0,65634.0,22.07,2277958.5300858063,73.9,156.0,5,2012.0,First,Diesel,Manual,Fourth Tier,North,350000.0
1198.0,6000.0,20.63,2277984.9023081856,67.06,157.0,5,2016.0,First,Petrol,Manual,Fifth Tier,East,250000.0
1198.0,33280.0,19.4,2277972.8389785667,86.8,158.0,5,2013.0,First,Petrol,Manual,Fourth Tier,East,239000.0
1595.0,29000.0,14.8,2277975.051303185,120.7,159.0,5,2013.0,First,Petrol,Automatic,Second Tier,North,1125000.0
1498.0,42831.0,26.0,2277968.8546405984,98.6,160.0,5,2015.0,First,Diesel,Manual,Fourth Tier,South,711000.0
2494.0,90000.0,12.99,2277948.787462957,100.6,161.0,7,2016.0,First,Diesel,Manual,Third Tier,East,1090000.0
1197.0,24005.0,20.4,2277976.9386434555,81.8,162.0,5,2017.0,First,Petrol,Manual,Fourth Tier,East,620000.0
2179.0,32792.0,15.1,2277973.840556631,140.0,163.0,7,2012.0,First,Diesel,Manual,Third Tier,West,790000.0
1498.0,147898.0,22.7,2277922.3854962406,89.84,164.0,5,2014.0,First,Diesel,Manual,Fourth Tier,South,442000.0
2982.0,131765.0,13.0,2277930.710734632,168.5,165.0,7,2012.0,First,Diesel,Manual,Third Tier,West,1350000.0
1498.0,65000.0,21.5,2277959.0494832178,108.5,166.0,5,2013.0,First,Diesel,Automatic,Fourth Tier,East,625000.0
1399.0,66123.0,20.0,2277958.469807002,68.0,167.0,5,2010.0,Second,Diesel,Manual,Fourth Tier,North,210000.0
2993.0,41000.0,15.3,2277970.869213494,258.0,168.0,5,2015.0,First,Diesel,Automatic,Second Tier,West,4500000.0
2143.0,23550.0,19.27,2277977.9002826507,167.62,169.0,5,2017.0,First,Diesel,Automatic,Second Tier,South,3365999.9999999995
1198.0,45000.0,19.4,2277967.652498878,86.8,170.0,5,2012.0,Second,Petrol,Manual,Fourth Tier,South,365000.0
1197.0,60000.0,20.36,2277961.0167378066,78.9,171.0,5,2013.0,First,Petrol,Manual,Fourth Tier,North,275000.0
2143.0,44414.0,17.9,2277968.6723435954,170.0,172.0,5,2016.0,First,Diesel,Automatic,Second Tier,South,4250000.0
1197.0,1000.0,18.9,739000.0,81.86,173.0,5,2019.0,First,Petrol,Manual,Fourth Tier,East,650000.0
1968.0,62500.0,17.68,2277960.5339539913,174.33,174.0,5,2012.0,Second,Diesel,Automatic,Second Tier,West,1900000.0
1598.0,21000.0,14.4,2277978.5859745205,103.6,175.0,5,2013.0,Second,Petrol,Automatic,Fourth Tier,West,445000.0
1998.0,8525.0,16.6,2277984.4225977515,112.0,176.0,5,2017.0,Second,Diesel,Automatic,First Tier,North,2300000.0
1396.0,29000.0,22.54,2277974.8848805875,88.73,177.0,5,2014.0,First,Diesel,Manual,Fourth Tier,South,835000.0
1968.0,40000.0,17.68,2277970.483825095,174.33,178.0,5,2014.0,First,Diesel,Automatic,Second Tier,West,2295000.0
936.0,88000.0,25.44,2277948.4211715865,57.6,179.0,5,2012.0,First,Diesel,Manual,Fifth Tier,North,150000.0
1798.0,53537.0,13.7,2277964.359306169,157.75,180.0,5,2012.0,First,Petrol,Automatic,Third Tier,South,689000.0
1399.0,216000.0,17.8,2277892.1810444565,68.0,181.0,5,2006.0,Second,Diesel,Manual,Fourth Tier,East,145000.0
1995.0,51000.0,22.48,6947000.0,190.0,182.0,5,2014.0,First,Diesel,Automatic,Second Tier,East,3350000.0
1598.0,118500.0,12.9,2277935.4631052394,102.5,183.0,5,2007.0,First,Petrol,Manual,Fifth Tier,North,125000.0
1199.0,63000.0,22.07,2277959.6876461585,73.9,184.0,5,2012.0,First,Diesel,Manual,Fourth Tier,East,420000.0
1461.0,25000.0,19.98,2277976.705527391,108.5,185.0,8,2015.0,First,Diesel,Manual,Third Tier,West,675000.0
2143.0,37382.0,13.0,2277971.7816217057,201.1,186.0,5,2014.0,First,Diesel,Automatic,Second Tier,South,3200000.0
1197.0,24773.0,21.4,877999.9999999999,83.1,187.0,5,2017.0,First,Petrol,Manual,Fourth Tier,South,750000.0
1582.0,62000.0,22.32,2277960.439135729,126.32,188.0,5,2012.0,First,Diesel,Manual,Fourth Tier,North,459999.99999999994
1086.0,52340.0,19.81,2277964.3102304307,68.05,189.0,5,2017.0,First,Petrol,Manual,Fourth Tier,South,404000.0
1997.0,56739.0,15.4,2277963.095600384,120.0,190.0,7,2016.0,First,Diesel,Manual,Third Tier,South,1031000.0
2179.0,36091.0,12.7,2277972.3786966354,187.7,191.0,5,2018.0,First,Diesel,Automatic,First Tier,South,5576000.0
1399.0,120000.0,20.0,2277934.635417038,68.0,192.0,5,2010.0,First,Diesel,Manual,Fourth Tier,East,260000.0
1248.0,33000.0,25.47,1274000.0,88.5,193.0,7,2016.0,First,Diesel,Manual,Fourth Tier,West,850000.0
1945.7190327315639,60006.0,0.0,2277961.60814264,112.56709956207783,194.0,6,2007.0,First,Petrol,Manual,Fourth Tier,East,295000.0
1498.0,52000.0,25.8,2277964.7903282554,98.6,195.0,5,2014.0,First,Diesel,Manual,Fourth Tier,East,350000.0
1197.0,43571.0,20.36,2277968.276107944,78.9,196.0,5,2015.0,First,Petrol,Manual,Fourth Tier,North,355000.0
1498.0,50000.0,25.8,2277965.6743292385,98.6,197.0,5,2013.0,First,Diesel,Manual,Fourth Tier,East,325000.0
1896.0,113000.0,17.5,2277938.1294797775,106.0,198.0,5,2008.0,First,Diesel,Manual,Third Tier,East,450000.0
1461.0,90000.0,19.87,2277947.952395246,83.8,199.0,5,2014.0,First,Diesel,Manual,Third Tier,North,535000.0
1493.0,29000.0,17.45,1052000.0,100.0,200.0,7,2017.0,Second,Diesel,Manual,Third Tier,East,650000.0
1248.0,20000.0,24.3,1198000.0,88.5,201.0,5,2016.0,First,Diesel,Manual,Fourth Tier,West,900000.0
1197.0,61012.0,18.6,2277960.5613003015,81.83,202.0,5,2016.0,First,Petrol,Manual,Fourth Tier,South,600000.0
1390.0,87459.0,14.7,2277949.0186676513,85.0,203.0,5,2009.0,First,Petrol,Manual,Third Tier,North,275000.0
1193.0,70500.0,15.64,2277956.3597234795,64.1,204.0,5,2010.0,First,Petrol,Manual,Fifth Tier,West,150000.0
1968.0,64103.0,15.73,2277959.81686165,174.33,205.0,5,2015.0,First,Diesel,Automatic,Second Tier,North,1989999.9999999998
1798.0,76000.0,14.7,2277954.4197789966,177.5,206.0,5,2014.0,First,Petrol,Automatic,Third Tier,West,1000000.0
1364.0,104000.0,23.59,2277941.6796838427,67.06,207.0,5,2014.0,First,Diesel,Manual,Third Tier,North,300000.0
1542.204689765149,42001.0,16.1,2277969.244873583,103.90381891927791,208.0,5,2010.0,First,Petrol,Manual,Fourth Tier,East,211000.0
1595.0,37245.0,14.8,2277971.3916976913,120.7,209.0,5,2014.0,First,Petrol,Automatic,Second Tier,South,1196000.0
1498.0,45000.0,27.4,853999.9999999999,98.6,210.0,5,2013.0,First,Diesel,Manual,Fourth Tier,East,325000.0
1582.0,117837.0,22.32,2277935.7384357154,126.32,211.0,5,2012.0,Second,Diesel,Manual,Fourth Tier,North,475000.0
1461.0,30000.0,20.46,2277974.484771151,83.8,212.0,5,2014.0,First,Diesel,Manual,Third Tier,West,595000.0
1591.0,27057.0,15.29,2277975.893288624,121.3,213.0,5,2015.0,Second,Petrol,Manual,Fourth Tier,North,815000.0
